group,time_hour,cell_viability_percent,sGAG_total_ug,percent_diff
config_scaffold_High,24,96.5862,,0
config_scaffold_High,24,96.43863364,,0
config_scaffold_High,24,95.6424952,,0
config_scaffold_High,24,95.49515764,,0
config_scaffold_High,168,92.568,,4
config_scaffold_High,168,95.03853028,,4
config_scaffold_High,168,96.16470153,,4
config_scaffold_High,168,95.72262677,,4
config_scaffold_High,336,90.85275,,20
config_scaffold_High,336,97.85457817,,20
config_scaffold_High,336,97.00218679,,20
config_scaffold_High,336,95.84999672,,20
config_scaffold_High,504,91.66275,73.20864083,48.66892655
config_scaffold_High,504,97.14080619,72.33314773,48.66892655
config_scaffold_High,504,95.30938846,68.59365926,48.66892655
config_scaffold_High,504,95.61979872,70.7978429,48.66892655
config_scaffold_Low,24,98.9224,,0
config_scaffold_Low,24,98.8230713,,0
config_scaffold_Low,24,98.8264076,,0
config_scaffold_Low,24,98.60658068,,0
config_scaffold_Low,168,98.59475,,10
config_scaffold_Low,168,97.24960046,,10
config_scaffold_Low,168,97.44639094,,10
config_scaffold_Low,168,97.33258233,,10
config_scaffold_Low,336,98.63325,,40
config_scaffold_Low,336,98.82636418,,40
config_scaffold_Low,336,98.8155163,,40
config_scaffold_Low,336,98.81744819,,40
config_scaffold_Low,504,98.901,121.5372386,80
config_scaffold_Low,504,98.83701365,106.1484682,80
config_scaffold_Low,504,99.46440093,114.6269286,80
config_scaffold_Low,504,99.2843118,121.0812244,80
